en,fr,de,vi
abbreviated dialling prefix,préfixe de numérotation abrégée,Kurzwahlnummer,
ability to bridge a gap between workpieces,aptitude(d'une électrode)au soudage sur bords écartés,Spaltueberbrueckungsfaehigkeit,
abnormal ionospheric layer,couche ionosphérique anormale,abnormale ionosphärische Schicht,
abnormal reaction,réaction anormale,anormale Reaktion,
abrupt change in the speed of light,saut d'indice de réfraction,abrupte Änderung der Lichtgeschwindigkeit,
abrupt junction,jonction abrupte,abrupter Übergang,
absence of ground,sans terre,Erdfreiheit,
absent,absent,abwesend,
absolute delay,retard absolu,absolute Verzögerung,
absolute delay,retard absolu,Wartezeit,
absolute error,erreur absolue,absoluter Fehler,
absolute field strength,valeur absolue du champ,absolute Feldstärke,
absolute loader,chargeur-image-mémoire,Absolutlader,
absolute maximum value,valeur absolue maximum,absoluter Höchstwert,
absolute permeability,perméabilité absolue,absolute Permeabilität,
absolute power density level,niveau absolu de densité de puissance,absoluter Leistungsdichtepegel,
absolute power level,niveau absolu de puissance réelle,absoluter Pegel,
absolute sensitivity,sensibilité absolu,absolute Empfindlichkeit,
absolute spectral sensitivity,sensibilité énergétique monochromatique,spektrale Empfindlichkeit,
absolute spectral sensitivity characteristic,caractéristique de sensibilité spectrale absolue,Kennlinie der absoluten spektralen Empfindlichkeitsverteilung,
absolute stability,stabilité absolue,absolute Stabilität eines linearen Systems,
absolute voltage level,niveau absolu de tension,absoluter Spannungspegel,
absorbed voltage,tension absorbée,aufgenommene Spannung,
absorber plate,plaque réceptrice,Absorptionsschicht,
absorbing clamp,pince absorbante,Absorptionsklemme,
absorbing layer,couche absorbante,Absorptionsschicht,
absorbing surface,surface absorbante,Absorberoberfläche,
absorption,absorption,Aufnahme,
absorption coefficient,coefficient d'absorption,Absorptionskoeffizient,
absorption fading,évanouissements dus à l'absorption,Absorptionsschwund,
absorption heat pump,pompe à chaleur à absorption,Absorptionswaermepumpe,
absorption index,indice d'absorption,Absorbtionsindex,
absorption length,longueur d'absorption,Absorptionslänge,
absorption line,raie d'absorption,Absorptionslinie,
absorption loss,affaiblissement dû à l'absorption,Absorptionsverlust,
absorption loss,perte par absorption,Absorptionsverlust,
absorption of energy,absorption d'énergie,Energieaufnahme,
absorption peak,pic d'absorption,Absorptionsspitze,
absorption tube,tube à absorption,Absorptionspipette,
absorption wavemeter,ondemètre à absorption,Frequenzmesser im Absorptionsverfahren,
absorption-desorption storage,stockage par sorption,Speicherung durch Sorptionsanlage,
abstracted lumped model,modèle équivalent concentré,abstrahierte Ersatzschaltung aus konzentrierten Elementen,
AC Josephson effect,effet Josephson alternatif,Wechselstrom-Josephson-Effekt,
ac line filter,filtre de ligne à courant alternatif,Wechselstromfilter,
AC standby power,puissance des sources de secours en courant alternatif,Notwechselstromversorgung,
ac-coupled flip-flop,bascule couplée,wechselstromgekoppeltes Flip-Flop,
accelerated oxidation,oxydation accélérée,beschleunigte Oxidation,
accelerating,accélération,Hochfahren,
accelerating torque,couple d'accélération,Beschleunigungsmoment,
accelerating voltage,tension d'accélération,Beschleunigungsspannung,
acceleration measurement circuit,circuit de mesure d'accélération,Beschleunigungsmesser,
acceleration measurement device,dispositif de mesure d'accélération,Vorrichtrung zum Messen der Beschleunigung,
acceleration of convergence,accélération de la convergence,Beschleunigung der Konvergenz,
acceleration of distance protection,accélération de stade,Messbereicherweiterung,
acceleration relay,relais d'accélération,Beschleunigungsrelais,
acceleration switch,bouton d'accélération,Beschleunigungsschalter,
acceleration time for the vehicle laden on a slope,temps d'accélération pour le véhicule chargé en côte,Beschleunigungszeit für das beladene Fahrzeug auf der Steigung,
accelerative force,effort accélérateur,Beschleunigungskraft,
accelerator,électrode accélératrice,Beschleunigungselektrode,
accelerator circuit,circuit accélérateur,Beschleunigungsschaltkreis,
accelerator grid,grille accélératrice,Beschleunigungsgitter,
accelerator potentiometer,potentiomètre d'accélération,Potentiometer für Gas,
accelerometer,indicateur d'accélération,Beschleunigungsmesser,
accent lighting,"Eclairage ""décrochage""",Akzentlicht,
acceptable distortion,distorsion admissible,annehmbare Verzerrung,
acceptable interference,brouillage acceptable,annehmbare Interferenz,
acceptable quality level,niveau de qualité acceptable,zulässige Güteabweichung,
acceptance angle,angle d'admission,Akzeptanzwinkel,
acceptance certificate,certificat de réception,Abnahmebescheinigung,
acceptance conditions,conditions de réception,Annahmebedingungen,
acceptance cone,cône d'acceptance,Akzeptanzkonus,
acceptance storage,stockage de réception,Speicherung,
acceptance voltage,tension admissible,zulässige Spannung,
accepted interference,brouillage accepté,angenommene Interferenz,
accepted spurious frequency deviation,écart de fréquence parasite admis,akzeptierte Störfrequenzauslenkung,
acceptor,accepteur,Akzeptor,
acceptor atom,atome accepteur,Akzeptor-Atom,
acceptor centre,centre accepteur,Akzeptor-Zentrum,
acceptor charge,charge acceptrice,Akzeptor-Ladung,
acceptor doping,dopage par accepteurs,Dotieren von Akzeptoren,
acceptor exhaustion,épuisement des accepteurs,Akzeptorenerschöpfung,
acceptor imperfection,imperfection acceptrice,Akzeptor-Störstelle,
acceptor impurity,impureté acceptrice,Akzeptorverunreinigung,
acceptor ion,ion accepteur,Akzeptor-Ion,
acceptor level,niveau accepteur,Akzeptorniveau,
acceptor segregation coefficient,coefficient de ségrégation des accepteurs,Akzeptor-Verteilungskoeffizient,
acceptor state,niveau d'énergie de l'accepteur,Akzeptorniveau,
acceptor-atom density,densité des accepteurs,Akzeptorendichte,
access burst signal,salve de signaux d'accès,Anschlusssignal als Impulsbündel,
access holes,trous de pilotage,Zugangsloch,
access information channel,voie d'information d'accès,Zugriff auf den Informationskanal,
access point,point d'accès,Messpunkt,
access probe,calibre d'accessibilité,Zugangssonde,
access to service area,desserte du dépôt,Zufahrt zum Betriebshof,
access to supplementary services,accès aux services supplémentaires,Zugriff zu Zusatzdiensten,
accessible,accessible,begehbar,
accessible resource base,ressource de base accessible,gesamter in erreichbarer Tiefe vorhandener Energievorrat,
accessory,accessoire,Zubehör,
accidental voltage transfer,transfert accidentel de tension,fehlerbedingter Spannungsübertritt,
accompanying sound,son d'accompagnement,zugehöriger Ton,
accumulating contact,contact antibloquant,Anreicherungskontakt,
accumulation of heat of dilution,accumulation de chaleur de dilution,Verdünnungswärme-Speicherung,
accumulation region,région d'accumulation,Anreicherungszone,
accumulative latching mechanical system,système mécanique à touches simultanées,Rastmechanismus mit Fremdauslösung,
accumulator and data shift card,carte d'accumulateurs et de décalage des données,Datenakkumulator-und Datenverschiebungskarte,
accumulator cell,élément d'accumulateur,Akkumulatorzelle,
accumulator plate,plaque d'accumulateur,Akkumulatorenplatte,
accumulator starter battery,batterie d'accumulateurs de démarrage,Autobatterie,
accuracy and precision,exactitude et précision,Genauigkeit und Praezision,
accuracy class index,indice de classe de précision,Klassenzeichen,
accuracy range,domaine de précision,Genauigkeits-Bereich,
acetogenesis,acétogénèse,Essigsäurebildung,
acetogenic bacteria,Acetobacteriae,Essigsäurebakterien,
acetogenic fermentation,fermentation acétique,Essigsäuregärung,
acetylene lighting,éclairage à l'acétylène,Azetylenbeleuchtung,
achromatic,achromatique,unbunt,
acid electrolyte fuel cell,pile à électrolyte acide,saure Brennstoffzelle,
acid lining,garnissage acide,saurer Futter,
acid scrubbing tower,colonne à acide,Waschkolonne,
acid zinc-halogen solution,solution de sel haloïde de zinc,Zinkhalogenlösung,
acid-gas removal,épuration,Abtrennung der sauren Gasbestandteile,
acidization,fracturation à l'acide,Säuerung,
acidogenesis,acidogénèse,Säurebildung,
acidogenic bacteria,bactéries acidogènes,säurebildende Bakterien,
acknowledge button,bouton d'acquittement,Quittierknopf,
acknowledgment bit,bit d'accusé de réception,Quittungsbit,
acknowledgment indicator,signal d'accusé de réception,Quittungszeichen,
acknowledgment signal unit,unité de signalisation d'accusé de réception,Ziffernquittungszeichen-Einrichtung,
acoustic admittance,admittance acoustique,akustische Admittanz,
acoustic amplifier,dispositif d'amplification acoustique,akustische Verstaerkervorrichtung,
acoustic coupler,coupleur acoustique,akustischer Koppler,
acoustic coupler,coupleur acoustique,akustischer Koppler,
acoustic coupler,coupleur acoustique,akustischer Kuppler,
acoustic coupling,couplage acoustique,Schallkopplung,
acoustic enclosure,enceinte d'insonorisation,Geräuschschutzhülle,
acoustic generator,émetteur de son,akustischer Generator,
acoustic hearing aid,dispositif de correction auditive,Hörgerät,
acoustic heating,chauffage acoustique,akustische Aufheizung,
acoustic modem,modem acoustique,akustisches Modem,
acoustic shock protection,protection contre choc acoustique,Schutz gegen akustischen Stoß,
acoustical feedback,feedback acoustique,akustische Rueckkoppelung,
acoustical insulation material,matériau isolant acoustique,Schallisolierungsmaterial,
acoustics of control rooms,acoustique des locaux de contrôle,Akustik in Schalträumen,
acoustoelectric effect,effet électro-acoustique,elektroakustischer Effekt,
acoustooptic effect,effet acousto-optique,akusto-optischer Effekt,
acquisition of land,concession,Flaechenentzug,
acquisition time,temps d'acquisition,Beschaffungszeit,
acrylonitrile,cyanure de vinyle,Acrylnitril,
actinomyces,actinomycètes,Actinomyceten,
actions connected with work,manoeuvres pour travaux,Freischaltmanoever,
activation potential,potentiel d'activation,Aktivierungspotential,
activationpotential,potentiel de Flade,Grenzpotential,
active antenna,antenne active,wirksame Antenne,
active area,région active,wirksame Fläche,
active base region,région active de la base,aktive Basiszone,
active block,partie active,aktiver Block,
active channel,voie en service,aktiver Kanal,
active crossover,répartiteur actif,aktive Frequenzweiche,
active diagnostics,diagnostic actif,aktive Diagnostik,
active display,afficheur actif,aktive Anzeige,
active electrode,électrode singulière,differente Elektrode,
active element,élément actif,aktives Bauelement,
active element of a circuit,élément actif de circuit,aktives Stromkreiselement,
active load,contrainte active,Wirklast,
active logic,logique active,aktive logische Schaltung,
active matrix,matrice active,aktive Matrix,
active matrix liquid crystal display,cristal liquide à matrice active,Flüssigkristall mit aktiver Matrix,
active microwave sensor,capteur de microondes actif,aktiver Mikrowellen-Sensor,
active mode,mode actif,aktiver Betriebsmodus,
active network,réseau actif,aktives Netz,
active network,réseau actif,aktives Netzwerk,
active nutation damper system,système actif d'amortissement de la nutation,aktives Nutationsdämpfungssystem,
active optical coupler,coupleur optique actif,aktiver optischer Koppler,
active phased array,réseau actif en phase,aktives Phasengitter,
active power frequency response,réponse en puissance active/fréquence,frequenzabhängige Anpassung der Wirkleistungsabgabe,
active region,région active,aktive Zone,
active screen area,zone active de l'afficheur,aktive Schirmfläche,
active signalling link,canal sémaphore à l'état actif,aktiver Signalisierungs-Link,
active state,mode «actif»,aktiver Zustand,
active substrate,région active du support,aktives Substrat,
active surface,surface active,aktive Oberfläche,
active telephone channel,voie téléphonique active,aktiver Fernsprechkanal,
active tool thickness,largeur active de l'outil,Profilplattendicke,
active transducer,transducteur actif,aktiver Wandler,
active transducer,transformateur actif,aktiver Wandler,
active trim,réglage fin des résistances,aktives Trimmen,
active type heat exchanger,échangeur de chaleur actif,aktiver Wärmetauscher,
active volume,volume actif,Arbeitsvolumen,
active-area margin,marge de la région active,wirksame Grenzfläche,
active-power flow,transit actif,Wirkleistungsfluss,
activity coefficient,coefficient d'activité,Aktivitätskoeffizient,
activity of a purifying material,activité d'une matière épurante,Aufnahmefähigkeit einer Reinigungsmasse,
actual exchange of energy,échange d'énergie effectif,tatsaechlicher Energie-Austausch,
actual height of the antenna,hauteur réelle de l'antenne,tatsächliche Höhe einer Antenne,
actual value,valeur réelle,reeller Wert,
actual value of a specified time,valeur mesurée d'une temporisation,Istwert der Verzögerung,
actuating force,force de manoeuvre,Betätigungskraft,
actuation output signal,signal de sortie pour la mise en marche,Steuerungssignal,
actuation shaft,arbre de commande,Betaetigungswelle,
actuation time,temps d'établissement,Auslösezeit,
actuator gear,système de commande,Stellvorrichtung,
acyclic machine,machine acyclique,azyklische Maschine,
adaptive array,réseau adaptatif,adaptierende Antennenanordnung,
adaptive channel allocation,affection dynamique adaptable des voies,adaptierende Kanalzuordnung,
adaptive coding,codage adaptable,adaptierende Kodierung,
adaptive control,réglage adaptif,adaptive Regelung,
adaptive convolutional code,code à convolution adaptable,adaptiver Konvolutionscode,
adaptive delta modulation,modulation delta adaptative,adaptierende Deltamodulation,
adaptive differentiated pulse code modulation,modulation par impulsions et codage différentielle adaptable,adaptive Pulsecodenmodulation,
adaptive equaliser circuit,circuit égaliseur adaptable,adaptive Ausgleichseinheit,
adaptive filter,filtre adaptatif,anpassungsähiges Filter,
adaptive filtering,filtrage adaptatif,adaptive Filterung,
adaptive front lighting system,système d’éclairage avant adaptatif,adaptives Frontbeleuchtungssystem,
adaptive group delay equalization,égalisation souple des temps de propagation de groupe,adaptiver Ausgleich der Gruppenübertragungszeiten,
adaptive Huffman coding,codage de Huffman adaptatif,modifizierter Huffman-Code,
adaptive logic,logique adaptable,Anpassungslogik,
adaptive message-loading techniques,méthodes d'adaptation de la charge aux conditions de transmission,adaptive Techniken zur Nachrichtenbelastung,
adaptive method,méthode adaptative,adaptierende Methode,
adaptive narrow-band frequency modulation modem,modem à modulation de fréquence à bande étroite adaptable,Schmalbandfrequenzmodulationsmodem,
adaptive predictive coding,codage par prédiction adaptative,adaptive Prädiktionscodierung,
adaptive speed device,dispositif de régulation du flux des données,Geschwindigkeitsadapter,
adaptive transform acoustic,format de compression ATRAC,Adaptive Transform Acoustic Coding,
adaptive transmission,transmission adaptative,adaptierende Übertragung,
adaptor,adaptateur,Anpassungsglied,
adaptor,raccord intermédiaire,Adapter,
adaptor sub-unit,panier d'adaptation,Anpassungsrahmen,
Adcock direction finder,radiogoniomètre Adcock,Adcock-Peiler,
add,somme,Additionsbefehl,
add-on,additionnel,Zusatz,
add-on component,composant rapporté,Zusatzbauelement,
addend register,registre d'addition,Addendenregister,
adder,circuit d'addition,Addierer,
addition of lifts,télescopage,Teleskopierung,
additional cup board,armoire d'adjonction,Schaltschrank,
additional reference carrier transmission,transmission avec porteuse de référence supplémentaire,Übertragung mit zusätzlichen Referenzträgern,
additions,fondants,Zuschläge,
additive and multiplicative interference,brouillage additif et multiplicatif,addierende und multiplizierende Interferenz,
additive radio noise,bruit radioélectrique additionnel,zusätzliche Funkstörung,
additive sub-functions,sous-fonctions additives,additive Unterfunktion,
address,adresse,Adresse,
address field,champ d'adresse,Anschriftfeld,
address incomplete signal,signal d'adresse incomplet,Signal für unvollständige Adresse,
address recognition,reconnaissance d'adresse,Adresserkennung,
address selection logic,logique de sélection d'adresse,Adressenansteuerung,
address separator,séparateur d'adresses,Adreßzeichen,
address signal,signal d'adresse,Adressensignal,
address signal complete,signal d'adresse complet,Adresskennzeichen vollständig,
addressable control circuit,circuit de commande adressable,adressierbare Steuereinheit,
addressed repeater,répéteur adressé,adressierter Verstärker,
addressing,adressage,Ansteuerung,
addressing modes,mode d'adressage,Adressierungsarten,
addressing sequence,séquence d'adressage,Empfangsaufrufzeichenfolge,
adhesion of a locomotive,adhérence d'une locomotive,Haftreibung,
adiabatic compression,compression adiabatique,adiabatische Kompression,
adiabatic invariant,invariant adiabatique,adiabatische Invariante,
adiabatic process,transformation adiabatique,adiabatische Zustandsänderung,
adiabatic stabilization,stabilisation adiabatique,adiabate Stabilisierung,
adjacent channel isolation,séparation des canaux adjacents,Nachbarkanaltrennung,
adjacent channel protection ratio,rapport de protection contre les émissions faites dans une voie adjacente(ou dans un canal adjacent),Schutzverhältnis zum ausstrahlenden Nachbarkanal,
adjacent channel ratio-frequency protection ratio,rapport de protection aux fréquences radioélectriques pour le canal adjacent,Schutzverhältnis der Radiofrequenz des Nachbarkanals,
adjacent channel selectivity,sélectivité vis-à-vis de la voie adjacente,Trennschärfe gegen benachbarten Kanal,
adjacent channel signals,signaux dans une voie adjacente,Signale des Nachbarkanals,
adjacent channel spacing,espacement entre canaux adjacents,Abstand des Nachbarkanals,
adjacent frequency,fréquence voisine,Nachbarfrequenz,
adjacent frequency channel,canal voisin,benachbarter Frequenzkanal,
adjacent hops,section consécutive,Nachbarfunkfelder,
adjustable constant speed motor,moteur à vitesse réglable et constante,Motor mit stellbaren konstanten Drehzahlen,
adjustable gain amplifier,amplificateur à gain réglable,Verstärker mit einstellbarem Verstärkungsgrad,
adjustable power supply,source électrique réglable,regelbare Stromversorgung,
adjustable resistor,résistance ajustable,Regelwiderstand,
adjustable speed motor,moteur à vitesse réglable,Motor mit stellbarer Drehzahl,
adjustable spot lamp,projecteur orientable,Suchscheinwerfer,
adjustable threshold,seuil réglable,einstellbarer Ansprechwert,
adjustable transformer,transformateur à curseur,Schiebetransformator,
adjustable varying speed motor,moteur à vitesse réglable et variable,Motor mit stellbaren veränderlichen Drehzahlen,
adjustable-temperature-coefficient diode,diode à coefficient de température ajustable,Diode mit verstellbarem Temperaturkoeffizienten,
adjusted peak performance,performance de crête corrigée,angepasste Spitzenleistung,
adjusting potentiometer,potentiomètre de réglage,Regelpoti,
adjustment characteristics of oven temperatue,établissement profil four,Einstelleigenschaften der Ofentemperatur,
adjustment of a transmitter,réglage d'un émetteur,Einstellen eines Senders,
adjustment of display sharpness,réglage de finesse d'affichage,Schärfeeinstellung des Bildschirms,
adjustment position,position réglage,Justierposition,
adjustment pressure,pression de réglage,Prüfdruck,
adjustment range,plage de réglage,Einstellbereich,
adjustment to electrification gauge,mise au gabarit électrification,Profilfreimachung bei Elektrifizierung,
administrative district of the health unit,circonscription administrative de l'unité sanitaire,Verwaltungsbezirk der Gesundheitsstelle,
administrative formalities,formalités administratives,Verwaltungsfoermlichkeiten,
admittance,admittance,Scheinleitwert,
admittance,admittance,Scheinleitwert,
admittance matrix of a polyphase element in coherent components,matrice des admittances d'un élément polyphasé en composantes cohérentes,Admittanzmatrix eines Mehrphasenelementes in kohärenten Komponenten,
adolescent failures,défaillances précoces,Spätausfälle,
advance ball,patin,Fuhrungskugel für Schneidkopf,
advanced code,code perfectionné,höherer Code,
Advanced Communication System,système de communication évolué,Advanced Communication-System,
advanced microelectronics,microélectronique avancée,hochentwickelte Mikroelektronik,
adverse propagation condition,condition de propagation défavorable,ungünstige Ausbreitungsbedingungen,
adverse state,état défavorable,fehlerhafter Zustand,
advertising vehicle,voiture publicitaire,Reklamewagen,
Advisory Committee on the Management of Demonstration Projects in the Field of Energy Saving,Comité consultatif de gestion des projets de démonstration permettant des économies d'énergie,Beratender Ausschuss fuer die Verwaltung der Demonstrationsvorhaben zur Energieeinsparung,
aeration adjuster,organe de réglage d'admission d'air,Lufteinstelleinrichtung,
aeration screw,vis de réglage d'air,Primärlufteinstellschraube,
aeration test burner,brûleur A.T.B.,ATB-Prüfbrenner,
aeration vane,papillon de réglage d'air,Lufteinstellklappe,
aerial cable,câble aérien,Luftkabel,
aerial cable,câble aérien,Luftkabel,
aerial lift device with insulating arm,engin élévateur à bras isolant,isolierende Arbeitshebebühne,
aerial marker,balise,Luftmarkierung,
aerodrome floodlight,projecteur d'aérodrome,Flugplatzflutlicht,
aerodrome surface movement indicator,radiodétecteur de mouvement au sol,Flugplatzradar,
aeronautical beacon,phare aéronautique,Luftfahrtleuchtfeuer,
aeronautical emergency frequency,fréquence aéronautique d'urgence,Notfallfrequenz für Flugzeuge,
aeronautical ground light,feu aéronautique à la surface,Luftfahrtfeuer,
aeroplane effect,erreur d'avion,Flugzeugfehler,
aerosol scattering,diffusion par les aérosols,Mie-Diffusion,
after de-energization,à l'arrêt,abgeschaltet,
after-cooler,réfrigérant complémentaire,Nachkühler,
after-cooler,réfrigérant complémentaire,Nachkühler,
after-diversity maximum demand,charge spécifique maximale,spezifische Hoechstlast,
agent,ingénieur-directeur du chantier,Bauleiter,
aggregate bandwidth,bande passante cumulée,verfügbare Bandbreite,
aggregate capacity,capacité totale,Gesamtkapazität,
aggregate data transmission capacity,capacité globale de transmission de données,globale Datenkapazität,
aging,vieillissement,Alterung,
aging rate,durée de vie,Alterungszahl,
agreement restricting the importation of electricity,accord entravant l'importation d'électricité,"Vereinbarung,die Einfuhr von Elektrizität behindert",
aid for the restorage of table wines,aide au relogement des vins de table,Beihilfe für die Umlagerung von Tafelwein,
air brake,frein aérodynamique,aerodynamische Rotorbremse,
air deficiency,manque d'air,Luftmangel,
air depolarized cell,pile à dépolarisation par l'air,Luftsauerstoffelement,
air duct,canalisation d'air en caniveau,Luftkanal,
air engine,cylindre à air,Druckluftzylinder,
air filled,machine à remplissage d'air,luftgefüllte Maschine,
air gap pad,lamelle d'entrfer,Luftdämpfungsglied,
air gasification,gazéification à l'air,Vergasung mit Luftzufuhr,
air guide,guidage d'air,Luftleitflächen,
air independent power system,système d'alimentation indépendant de l'air,Aussenluftunabhängige Energieversorgungsanlage,
air insulated terminal box,boîte de connexions dans l'air,Klemmenkasten mit Luftisolation,
air intake system,réseau d'amenée d'air,Zuluft rohre,
air jet mixer,mélangeur à induction par l'air,Treibluftmischer,
air management system,système de gestion de la ventilation,Belüftungssystem,
air pipe,canalisation d'air,Luftleitung,
air preheater,échauffeur d'air,Luvo,
air pressure ring buoy,bouée annulaire Masuda,ringförmige Masuda-Boje,
air pressure sensor,capteur de pression d'air,Luftdruckmesser,
air raid warning radar apparatus,radar de détection pour défense antiaérienne,Radarsuchgeraet fuer die Luftabwehr,
air receiver,récepteur à air,Luftaufnahme,
air space,volume d'air,Mindestluftraum,
air spaced coaxial cable,câble coaxial à diélectrique air,Luftkammerkabel,
air trunking,manchette,Luftstützen,
air variable condenser,condensateur variable a air,variabler Luftkondensator,
air vent effective area,section efficace d'arrivée d'air,effektiver Entlüftungsquerschnitt,
air-conduction headphone,casque pour conduction aérienne,Luftleitungskopfhoerer,
air-conduction receiver,écouteur pour conduction aérienne,Luftleitungshoerer,
air-cooled evaporator,évaporateur à refroidissement à air,Direktverdampfer mit Luftkuehlung,
air-cooled evaporator,évaporateur à refroidissement à air,luftbeaufschlagter Verdampfer,
air-flow calorimeter,calorimètre à circulation d'air,Kalorimeter mit Luft als Wärmeträger,
air-gap overlap span,sectionnement à lame d'air,Streckentrennung,
air-gap transformer,transformateur à air,Trockentransformator,
air-handling luminaire,luminaire à circulation d'air,luftführende Leuchte,
air-interception radar,radiodétecteur aéroporté d'interception,Luft-Luft-Radar,
air-mix plant,station d'air propané,LPG/Luft-Mischgasanlage,
air-to-air heat pump,pompe à chaleur air-air,Luft-Luft-Waermepumpe,
air-to-water heat pump,pompe à chaleur air-eau,Luft-Wasser-Waermepumpe,
air/gas ratio,rapport air/gaz,Luft/Gas-Verhaeltnis,
airborne auxiliary power,source auxiliaire d'énergie à bord,Bordhilfsaggregat,
airborne electronic aids to air navigation,aides électroniques à la navigation aéronautique installées à bord d'aéronefs,an Bord installierte elektronische Hilfsmittel zur Flugnavigation,
airborne sealing,colmatage au brouillard de coulis,Feinstaubdichtung,
airborne survey,prospection aéroportée,Aero-Prospektion,
aircraft battery,batterie d'aéronef,Flugzeugbatterie,
aircraft flying en-route,aéronef en route,sich im Flug befindliches Flugzeug,
aircraft generator disconnect,débrayage d'un alternateur d'avion,Auskuppeln des Bordgenerators,
aircraft system,circuit de bord,Bordnetz,
airfield lamp,lampe d'aéroport,Lampe für Flughafenbeleuchtung,
airgap,ENTRE-fer,Luftspalt,
airing cupboard,armoire sèche-linge,Waesche-/Trockenschrank,
airway beacon,phare de jalonnement,Landebahneinflugfeuer,
ajustable thermostatic switch,interrupteur thermostatique réglable,einstellbarer Thermoschalter,
alarm,dispositif d'alarme,Alarmeinrichtung,
alarm circuit,circuit d'alarme,Alarmstromkreis,
alarm indication signal,signal d'indication d'alarme,Alarmanzeigesignal,
alarm lamp panel,herse,Störungsanzeigefeld,
alarm MUX,multiplexeur d'alarmes,Alarm-Multiplexer,
alarm receiver,récepteur d'alarme,Alarmempfänger,
alarm transmission delay,retard dans la transmission d'alarme,verzögerte Alarmübermittlung,
albuminoidal substances,substances albuminoïdes,Eiweissstoffe,
alcohol engine,moteur à alcool,Alkoholmotor,
alcoholic fermentation,fermentation alcoolique,alkoholische Gärung,
alert limit,limite d’alerte,Auslösewert,
alerting signal,signal d'avertissement,Rufsignal,
alexandrite laser,laser à alexandrite,Alexandrit-Laser,
Alfvén velocity,vitesse d'Alfvén,Alfvén-Geschwindigkeit,
Alfvén waves,ondes d'Alfvén,Alfvén-Wellen,
algal-culture installation,installation de culture d'algues,Algenkulturbecken,
alginates,alginates,Alginate,
aliasing noise,bruit d'échantillonnage,Alias-Verzerrung,
align,aligner,ausrichten,
aligned-grid tube,tube à grilles alignées,Röhre mit Gitterabschattung,
alignment,cadrage,Ausrichtung,
alignment defect,défaut linéique,Ausrichtungsdefekt,
alignment laser,laser d'alignement,Richtlaser,
alignment procedure,alignement,Orientierungsverfahren,
alkali metals,métaux alcalins,Alkalimetalle,
alkaline accumulator,accumulateur alcalin,alkalischer Akkumulator,
