en,fr,de,vi
abrasive disc,disque abrasif,Schleifscheibe,
abrasive gear-cutting machine,machine à tailler les engrenages à la meule,Zahnrad-Schleifmaschine,
abrasive liquid,liquide abrasif,Schleiffluessigkeit,
abrasive sawing machine,machine à tronçonner à la meule,Trennschleifmaschine,
abrasive strip,garniture abrasive,Abriebstreifen,
absolute dimension,dimension absolue,Bezugsmass,
absolute filter,ultra filtre,Hochleistungsschwebstofffilter,
absolute filtration rating,pouvoir d'arrêt absolu,absolutes Filtrationsvermögen,
absolute position encoder,codeur de position absolue,Absolut-Drehwinkelgeber,
absolute pressure,pression absolue,absoluter Druck,
absolute pressure sensing capsule,capsule de détection de pression,Druckmessdose,
absolute streamline,ligne de courant en écoulement absolu,absolute Stromlinie,
absolute throttle position,position absolue du papillon,absolute Drosselklappenstellung,
absolute vacuum,vide absolu,absolutes Vakuum,
absorbate,produit d'absorption,Absorbat,
absorbed power,puissance absorbée,Leistungsaufnahme,
absorber,absorbeur,Absorber,
absorbing capacity,débit absorbé,Schluckstrom,
absorbing volume,volume absorbé par tour,Schluckvolumen,
absorptiometer,absorptiomètre,Absorptionsmessgeraet,
absorption bulb,tube absorbeur,Absorptionsrohr,
absorption drum for hydrochloric acid,caisse d'absorption pour acide chlorhydrique,Absorptionsgefaess fuer Salzsaeure,
absorption heat pump,pompe à chaleur à absorption,Absorptionswaermepumpe,
absorption heat pump,pompe à chaleur à absorption,Sorptionswärmepumpe,
accelerated application feature,fonction d'accélération de serrage,Bremsbeschleunigung,
accelerated application valve,valve d'accélération de serrage,Bremsbeschleunigungsventil,
accelerated speed,vitesse accélérée,beschleunigte Geschwindigkeit,
accelerating,accélération,Hochfahren,
accelerating torque,couple d'accélération,Beschleunigungsmoment,
acceleration jet,gicleur de reprise,Starterdüse,
acceleration limiter,limiteur d'accélération,Beschleunigungsbegrenzung,
acceleration signal,signal d'accélération,"Signal ""Beschleunigen""",
accelerator,accélérateur,Gashebel,
accelerator pedal,pédale de marche,Fahrpedal,
accelerator system,système accélérateur,Beschleunigerpumpe,
acceptable conditions,conditions acceptables,zulässige Bedingungen,
access chamber,chambre d'accès,Einsteigebauwerk,
access panel,panneau d'accès,wegnehmbare Balustraden-Verkleidungsfelder,
access shoe,tampon,Kanaldeckel,
access to the lift well,porte-palière,Schachtzugang,
access trap,trappe d'accès,Notausstiegklappe,
accessory,raccord,Rohrkupplung,
accessory assembly parts list,nomenclature des accessoires équipés,Ausrüstungsgeräteliste,
accessory gear box,boîte de commande d'accessoires,Hilfsgeräteantrieb,
accessory gear box,prise d'entraînement d'accessoires,Hilfsgeräteantrieb,
accessory gear box case rear half,demi-carter de relais d'accessoires arrière,hintere Hilfsgeräteträger-Gehäusehälfte,
accessory gear box drive,commande de relais d'accessoires,Hilfsgeräteantrieb,
accessory support,banane,Hilfsgeräteträger,
accidental opening of the coupling,ouverture intempestive de l'attelage,ungewolltes Öffnen der Kupplung,
accommodation coefficient,coefficient d'accommodation,Akkommodationskoeffizient,
accumulating conveyor,transporteur a accumulation,Stauförderer,
accumulation,accumulation,Ansammlung,
accumulator capacity indicator,accumètre,Batteriekapazitätsanzeiger,
accumulator filter,filtre de bâche,Druckspeicherfilter,
accumulator manifold,bloc-raccord d'accumulateur,Druckspeicherverteiler,
accumulator piston position monitor,appareil de surveillance de la position du piston d'accumulateur,Druckspeicher-Kolbenstellungs-Ueberwachungsgeraet,
accumulator refill pump,pompe de remplissage de l'accumulateur,Druckspeicher-Nachfuellpumpe,
accumulator tank discharge,décharge du réservoir d'emmagasinage,Speicherentladung,
accumulator tank stop valve,soupape d'arrêt du réservoir d'emmagasinage,Speicherbehaelter-Absperrventil,
accumulator test union,raccordement de contrôle de bâche,Druckspeicherprüfanschluß,
acid carboy,bonbonne à acide,Säureballon,
acid dump valve,vide-lent,Langsamablaß,
acid pump,pompe à acide,Saeure/pumpe,
acid storage tank,réservoir d'acide,Saeurespeicherbehaelter,
acid tank,réservoir d'acide,Saeuretank,
acid transfer pump,pompe de transfert des acides,Saeurefoerderpumpe,
acknowledgement of order,accusé de réception de la commande,Auftragsbestaetigung,
acme thread,filetage trapézoïdal,Trapezgewinde,
acme thread,filetage trapézoïdal,Trapezgewinde,
acme thread milling cutter,fraise à filet trapézoidal,Trapezgewindefräser,
acorn nut,écrou à portée sphérique,Eichelmutter,
acoustic noise,bruit acoustique,akustisches Rauschen,
acoustical thermometer,thermomètre acoustique,akustisches Thermometer,
acquisition frequency,fréquence d'acquisition,Erfassungsfrequenz,
actinometer,actinophotomètre,Aktinometer,
active compensating system,système de compensation active,aktives Ausgleichssystem,
active desiccant,déshydratant efficace,wirksames Trockenmittel,
active devices,composant actif,aktive Elemente,
active flank,flanc actif,aktive Flanke,
active flank arc,flanc actif,Aktives Profil,
active magnetic bearing,palier magnétique actif,aktives Magnetlager,
Active optoelectronic protective devices,dispositifs de protection optoélectroniques actifs,Aktive optoelektronische Schutzeinrichtungen,
active output,sortie active,aktiver Ausgang,
active part,garniture de palier,Lagereinsatz,
active pixel,pixel actif,aktives Bildelement,
active type heat exchanger,échangeur de chaleur actif,aktiver Wärmetauscher,
actual air consumption,consommation d'air effective,Betriebsluftverbrauch,
actual capacity of high-lift trucks,capacité effective des chariots à grande levée,wirkliche Tragfähigkeit von Staplern mit hohem Hub,
actual conditions,conditions effectives de fonctionnement,effektive Funktionsbedingungen,
actual cycle,cycle réel,realer Kreisprozess,
actual displacement,volume déplacé réel,wirkliche Foerdermenge,
actual force,force réelle,Betriebskraft,
actual point,pointe de coeur réelle,praktischer Herzpunkt,
actual power,énergie réelle,effektive Energie,
actual risk,risque réel,inhärentes Risiko,
actual set point,point de tri effectif,tatsaechlicher Schaltpunkt,
actual speed,vitesse réelle,effektive Geschwindigkeit,
actual wheel power,puissance réelle aux roues,tatsächliche Radleistung,
actual zone of indecision,zone d'indécision effective,tatsaechlicher Unschaerfebereich,
actuate,actionner,in Betrieb setzen,
actuated position,position finale,betätigte Stellung,
actuated time,temps de travail,Einschaltdauer,
actuating lever,levier d'attaque,Antriebshebel,
actuating lever,levier d'attaque,Antriebshebel,
actuating pipe,conduite d'affranchissement,Löseleitung,
actuating pipe hose,demi-accouplement de conduite d'affranchissement,Kupplungsschlauch der Löseleitung,
actuating screw,vis d'attaque,betätigungsschraube,
actuating system,actionneur,Stellantriebssystem,
actuator,actionneur,Stellantrieb,
actuator,moteur de commande,Stellmotor,
actuator,servo-moteur,Stellmotor,
actuator assy,vérin équipé,vollständiger Stellzylinder,
actuator assy optical sight,vérin de trappe de lunette,Visierschutzantrieb,
actuator control valve,distributeur de servodyne,Stellmotorregelventil,
actuator disc theory,théorie de Froude,Theorie der wirkenden Scheibe,
actuator disk,disque sustentateur,Auftriebskreisfläche,
actuator rod,bielle de vérin,Stellstange,
actuator rod guide,guide de tige d'actionneur,Stellstangenführung,
actuator-sight cover,motorisation de porte de lunette,Visierdeckel-Antrieb,
acyclic machine,machine acyclique,azyklische Maschine,
adaptable robot,robot à commande auto-adaptative,Roboter mit autonomer adaptiver Steuerung,
adaptable to any tractor,facilité d'adaptation sur le tracteur,müheloses Anbauen auf dem Schlepper,
adaptation kit,ensemble d'adaptation,Anpassungssatz,
adapted gripping device,préhenseur adapté,Wechselgreifer,
adapter,adaptateur,Stutzen,
adapter,adapteur,Passtueck,
adapter,bobine,Verbindungsstück,
adapter,embout,Anschlussstück,
Adapter for tests and measurements,Raccord pour essais et mesures,Pruef-und Messanschluss,
adaptive control,commande adaptative,AC,
adaptor,accrocheur de graisseur,Schmiernippelanpassstück,
adaptor,embout adaptateur,Zwischenstück,
adaptor,pièce façonnée,Formstück,
adaptor sleeve,manchon de réduction,Reduzierhülse,
addend,nombre à ajouter,summand,
addendum,hauteur de sommet de dent,Zahnkopfhöhe,
addendum,saillie,Kopfhöhe,
addendum angle,angle de saillie,Kopfwinkel,
addendum flank,flanc de tête,Kopfflanke,
addendum modification,déport de profil,Zahnhöhenkorrektur,
addendum modification coefficient,coefficient de déport,Profilverschiebungsfaktor,
addendum of bevel gear,saillie de la roue conique,Kopfhoehe am Kegelrad,
addendum shortening,denture basse,Kopfkürzung,
additional air intake,prise d'air supplémentaire,zusätzlicher Lufteinlass,
additional anti-smoke device,dispositif additionnel anti-fumée,zusaetzliche rauchverhindernde Einrichtung,
additional lubrication of axle-boxes,graissage complémentaire des boîtes d'essieu,Nachschmieren der Achslager,
additional outlet,prise d'eau supplémentaire,zusaetzlicher Auslass,
address plate embossing machine,machine à estamper les plaques d'adresses,Adressenpraegemaschine,
adhesive-tape dispenser,machine débitrice pour ruban adhésif,Klebebandgeber,
adiabatic compression,compression adiabatique,isentrope Kompression,
adiabatic demagnetization,désaimantation adiabatique,adiabate Entmagnetisierung,
adiabatic diesel,diésel adiabatique,adiabatischer Dieselmotor,
adiabatic expansion,détente adiabatique,isentrope Expansion,
adiabatic exponent,exposant adiabatique,Isentropenexponent,
adjacent pitch error,défaut local de division,Teilungsfehler,
adjust,ajuster,justieren,
adjust for wear,rattraper le jeu,das Spiel nachstellen,
adjust the depth of cut,régler la profondeur de passe,zustellen,
adjustability,capacité d'adaptation,Regelbarkeit,
adjustability,possibilité de réglage,Einstellbarkeit,
adjustable ball fitting,rotule réglable,verstellbares Gelenklager,
adjustable brake release device,dispositif de changement du régime de desserrage,Umstellvorrichtung für den Lösevorgang,
adjustable clam nozzle,tuyère à paupières,einstellbare Muscheldüse,
adjustable clutch release rod,tige réglable,verstellbare Ausrückstange,
adjustable constant speed motor,moteur à vitesse réglable et constante,Motor mit stellbaren konstanten Drehzahlen,
adjustable curved roll,rouleau courbé ajustable,einstellbare Bogenwalze,
adjustable fitting,pièce de réglage,Verstellstück,
adjustable flow path geometry,géométrie réglable de la veine,Strömungskanal mit veränderlicher Geometrie,
adjustable for wear,à rattrapage de jeu,nachstellbar zum Ausgleich des Verschleißes,
adjustable friction shock absorber,amortisseur à friction réglable,verstellbarer Reibungsstoßdämpfer,
adjustable front axle,demi-essieu mobile,Achsarm,
adjustable grooving tool,outil à rainures réglable,verstellbarer Nutenstahl,
adjustable handlebar,mancheron réglable,verstellbare Sterze,
adjustable hitch,attelage réglable,regelbare Kupplung,
adjustable lateral hitch,régulateurs de traction,Zugregler,
adjustable lever,levier réglable,Verstellhebel,
adjustable loading shovel,pelleteuse orientable,Schwenkschaufel,
adjustable nozzle,buse à section variable,verstellbare Düse,
adjustable prop,étrésillon ajustable,verstellbarer Stempel,
adjustable resistor,résistance réglable,einstellbarer Widerstand,
adjustable restrictor,réducteur de débit réglable,Verstelldrossel,
adjustable rod,bielle réglable,verstellbare Stange,
adjustable roller plunger,plongeur réglable à galet,Kugelbolzen,
adjustable screw die,coussinet de filière,Gewindeschneidbacke,
adjustable seat,siège réglable,verstellbarer Sitz,
adjustable speed motor,moteur à vitesse réglable,Motor mit stellbarer Drehzahl,
adjustable spout support,soutien du col de cygne,Führungsgestänge des Auswurfkrümmers,
adjustable steering control,commande de direction réglable en position,verstellbare Betätigungseinrichtung der Lenkanlage,
adjustable stop,butée réglable,verstellbarer Anschlag,
adjustable tension spring,ressort à tension réglable,Feder mit einstellbarer Spannung,
adjustable varying speed motor,moteur à vitesse réglable et variable,Motor mit stellbaren veränderlichen Drehzahlen,
adjustable wrench,clé à molette,Universalschraubenschlüssel,
adjusting arm,bras de réglage,Verstellhebel,
adjusting bolt,boulon ajusté,Passschraube,
adjusting bolt,boulon de réglage,Stellbolzen,
adjusting gib,lardon de réglage,Einstelleiste,
adjusting handle,poignée de rappel,Rückholgriff,
adjusting lever,levier de réglage,Wählhebel,
adjusting link,maille de réglage,Nachstellvorrichtung,
adjusting plate,lyre,Lyra,
adjusting screw handle,barrette de vis de détente,Griff der Oeffnungsschraube,
adjusting stop,butée de réglage,Einstellanschlag,
adjusting strip,réglette de rattrapage de jeu,Stelleiste,
adjusting wedge,coin de réglage,Stellkeil,
adjustment,réglage,Regulierung,
adjustment plate,peigne mobile,Verstellkamm,
adjustment plate,peigne volant,Abstandshalterung,
adjustment screw,vis d'approche,justierschraube,
adjustment screw,vis de réglage,Stellschraube,
administrative district of the health unit,circonscription administrative de l'unité sanitaire,Verwaltungsbezirk der Gesundheitsstelle,
admission port,rainure d'admission,Zustroemschlitz,
admission valve,soupape d'admission,Einlassventil,
admission(of steam),admission(de vapeur),Dampfzuführung,
adsorbate,adsorbat,Adsorbat,
adsorbent,adsorbant,Adsorptionsmittel,
advance ball,patin,Fuhrungskugel für Schneidkopf,
advance injection timing,avance à l'injection,Früheinspritzung,
advance speed,vitesse de travail,Vorlaufgeschwindigkeit,
advanced DI gasoline engine,moteur à essence DI avancé,fortschrittlicher DI-Benzinmotor,
advanced exhaust,avance à l'échappement,Vorausströmung,
advanced machine tool,machine-outil avancée,fortgeschrittene Werkzeugmaschine,
advanced opening,avance à l'admission,Voreinströmung,
advanced timing,avance à l'allumage,Frühzündung,
advancing blade,pale avançante,vorlaufendes Blatt,
aerated steam treatment,traitement à la vapeur,Dampf Luft Behandlung,
aerated vortex,vortex aéré,beluefteter Wirbel,
aerating pump,pompe d'aération,Belüftungspumpe,
aeration brush,brosse d'aération,Walzenbürste,
aeration nozzles,buses d'aération,Belüftungsstutzen,
aeration turbine,turbine d'aération,Belüftungsturbine,
aerator silencer,silencieux de soufflage,Aeratorgeräuschdämpfer,
aerial winch,rouet d'antenne,Antennenhaspel,
aerobic digester,digesteur aérobie,aerober Zersetzungsstoff,
aerodynamic blockage thrust reverser,freinage aérodynamique par inverseur de poussée,aerodynamische Schubumkehr,
aerodynamic braking system,système de freinage aérodynamique,aerodynamisches Bremssystem,
aerofoil's drag,résistance de l'aile portante,Widerstand des Tragfluegels,
aeroplane wing's cross-section,section d'aile,Fluegelquerschnitt,
aft crossbrace,barre arrière habillée,hintere Querstrebe,
aft fan,soufflante arrière,hinten angeordneter Bläser,
after-burning appliance,dispositif de post-combustion,Nachverbrenner,
after-burning appliance,dispositif de postcombustion,Nachverbrenner,
afterburn,postcombustion,Nachverbrennen,
afterburner,chambre de post-combustion,Nachbrenner,
afterburner climb,montée réchauffe allumée,Steigflug mit Nachbrenner,
afterburner fuel pump,pompe à carburant à postcombustion à noyau de vapeur,Nachbrennerkraftstoffpumpe,
afterburner pressurizing and dump valve,distributeur-purgeur de postcombustion,Brennkammerablassventil,
afterfiring,postcombustion,Nachzünden,
ageing tap,prise intermédiaire de réglage,Umsteller fuer Transformatoren bei Spannungsabfall,
agglomeration,agglomération,Agglomeration,
aggregate cooling,refroidissement des agrégats,Kuehlung der Zuschlagstoffe,
aggressivity,aggressivité,Aggressivitaet,
agitator,agitateur,Ruehrwerk,
agitator,agitateur,Ruehrwerk,
agricultural spray pump,pompe d'arrosage par aspersion,Beregnungs/pumpe,
aileron control wheel,volant d'aileron,Querrudersteuerrad,
aileron control wheel,volant de gauchissement,Handrad für Quersteuerung,
aileron deflection,braquage d'aileron,Querruderausschlag,
aileron servo-actuator,servocommande de gauchissement,Querruderstellantrieb,
aimer fan,ventilateur de pointeur,Schütze-Lüfter,
air agitation in ice making,insufflation d'air,Lufteinblasen,
air and material separator,séparateur d'air et de matières,Luft-und Materialausscheider,
air assist atomizer,injecteur aérodynamique,hilfsluftbetätigter Zerstäuber,
air balancing,équilibrage du débit,Luftmengeausgleich,
air bearing,palier à air,Luftlager,
air blast cooling,refroidissement par soufflage d'air,Kuehlung mit starker Luftbewegung,
air blast freezer,congélateur à air forcé,Gefriereinrichtung mit Luftgeblaese,
air bleed,prélèvement d'air,Luftentnahme,
air bleed,purge d'air,Entlüfter,
air blower,bouche de soufflage,Luftblasöffnung,
air box,caisse à vent,Windkessel,
air brake,frein aérodynamique,aerodynamische Rotorbremse,
air brake equipment,équipement de frein pneumatique,Druckluftbremseinrichtung,
air brake governor,régulateur de frein pneumatique,Regler der Druckluftbremse,
air brake pipe,conduite de frein,Bremsleitung,
air buffer,amortisseur à air comprimé,Druckluft-Stoßdämpfer,
air cell Diesel engine,moteur Diesel à réservoir d'air,Luftspeicher-Dieselmotor,
air chamber,réservoir à air,Luftkessel,
air changes per hour,taux de circulation d'air,Luftwechselrate,
air charging valve,clapet de gonflage,Füllventil,
air classification,séparation pneumatique,Klassieren mit Luft,
air clutch,embrayage pneumatique,Druckluftkupplung,
air compressor control magnet valve,électrovalve de compresseur d'air,Magnetventil des Luftverdichters,
air compressor cylinder,cylindre de compresseur,Zylinder des Luftverdichters,
air compressor intake throttle,régulateur d'admission de compresseur,Kompressoreinlassklappe,
air compressor safety valve,soupape de sûreté de compresseur d'air,Sicherheitsventil des Luftverdichters,
air conditioning and pressurization system,circuit de conditionnement et de pressurisation d'air,Klima- und Druckbelüftungsanlage,
air conditioning process,procédé de conditionnement d'air,Klimatisierungsprozess,
air conditioning unit,groupe de traitement de l'air comprimé,Druckluft-Wartungseinheit,
air connection,raccord pneumatique,Druckluftleitungskupplung,
air consumption,consommation d'air,Luftverbrauch,
air contamination,pollution de l'air,Luftverschmutzung,
air cooled,refroidi par air,luftgekühlt,
air cooling,refroidissement à air,Luftkühlung,
air cooling,refroidissement par air,Luftkühlung,
air cooling,ventilation d'air frais,Luftkühlung,
air cooling unit,radiateur,Luftkühler,
air cycle cold air unit,"groupe turborefroidisseur ""bootstrap""",Turbinenkühlaggregat,
air cycle machine,ventilateur équipé,Frischluftgebläse,
air dash-pot,tube amortisseur à air,Luftdaempfer,
air discharge,soufflage,Luftaustritt,
air displacement pump,machine élévatoire à air comprimé sans piston,Luftverdraengerpumpe,
air distribution shutoff valve,vanne d'isolement en air du compartiment,Luftverteilungsabsperrventil,
air dropping selector,sélecteur pour le parachutage,Wahlschalter für Absetzanlage,
air dryer,déshydrateur d'air,Trockner,
air duct,amenée d'air,Luftzuführung,
air duct,canalisation d'air en caniveau,Luftkanal,
air duct,manche d'aspiration d'air,Luftansaugkanal,
air duct,tube de refroidissement,Luftkanal,
air ejector,injecteur d'air comprimé,Luftdüse,
air entrainment,entraînement d'air,Luftförderung,
air exhaust pipe,tuyauterie d'évacuation d'air,Entlüftungsleitung,
air exhaust port,orifice d'évacuation,Luft-Auslassanschluss,
air filled,machine à remplissage d'air,luftgefüllte Maschine,
air filter for engines,filtre à air pour moteur,Luftfilter fuer Motoren,
air filter housing,logement de filtre à air,Luftfilter-Rahmen,
air filtration,filtration d'air,Luftfilterung,
air flow resistance,résistance à l'écoulement de l'air,Luftstromwiderstand,
air gap disc motor,moteur à capsule d'étanchéité,Spaltscheibenmotor,
air guide,guidage d'air,Luftleitflächen,
air guide plate,plateau diffuseur d'air,Luftleitplatte,
air heater,générateur d'air chaud,Luftheizofen,
air injection,injection pneumatique,Drucklufteinspritzung,
air injection machine,machine à air comprimé,Druckluftgiessmaschine,
air inlet duct,manche d'entrée d'air,Lufteintrittskanal,
air insulated terminal box,boîte de connexions dans l'air,Klemmenkasten mit Luftisolation,
air intake adapter,virole d'entrée,Lufteinlaßadapter,
air intake casing,carter de prise d'air,Verdichtereintrittsgehäuse,
air intake control,commande d'entrée d'air,Lufteinlassregler,
air intake debris guard,protection d'entrée d'air,Schutzabdeckung am Lufteintritt,
air intake extension,adaptateur d'entrée d'air,Lufteinlaufsverlängerung,
air intake motor,moteur d'entrée d'air,Luftansaugmotor,
air intake oil cooler,radiateur d'huile de prise d'air,Ölkühler im Lufteintritt,
air intake screen,grille d'entrée d'air,Lufteintrittsgitter,
air intake valve,volet d'admission d'air,Luftdruckfuehler,
air leakage,fuite d'air,Leckstelle,
air lock,écluse d'air,Luftschleuse,
air manifold,collecteur d'air,Lufteinlasskrümmer,
air mixing fan,ventilateur de recirculation,Umwälzventilator,
air motor,moteur à air,Luftmotor,
air motor,moteur pneumatique,Druckluftmotor,
air motor assemblies,groupe moteur à air comprimé,Druckluft-Motorblock,
air outlet screen,grille de sortie d'air,Luftauslaßgitter,
air outlet tube,tube d'évacuation d'air,Entlüftungsrohr,
air passage duct,gaine de conduite d'air,Luftleitungsschacht,
air patterns,caractéristiques de diffusion de l'air,Luftverteilungsnetz,
air pipe,canalisation d'air,Luftleitung,
air pipe,tube à air,Druckluftrohr,
air pipe,tuyau à air,Luftrohr,
air preheater,réchauffeur d'air,Luftvorwaermer,
air pressure hose,tuyau à air comprimé,Druckschlauch fuer Luft,
air pressure modulator,modulateur de pression d'air,Luftdruckmodulator,
air pressure operated valve,clapet pneumatique,Druckluftventil,
air pressure reducer,réducteur de pression d'air,Luftdruckminderer,
air pressure ring buoy,bouée annulaire Masuda,ringförmige Masuda-Boje,
air pump,pompe à air,Luftpumpe,
air refreshing tube,tube de ventilation,Belüftungsschlauch,
air refrigeration cycle,cycle frigorifique à air,Kaltluft-Prozess,
air regulating slide valve,tiroir de réglage d'air,Luftregulierschieber,
air relief valves,purgeurs d'air,Entlueftungsventile,
air resistance,résistance de l'air,Luftwiderstand,
air scoop,ouïe d'entrée d'air,Lufthutze,
air scoop,prise d'air de refroidissement,Kühlluftansaugstutzen,
air seal,joint d'étanchéité à l'air,Luftdichtung,
air shut-off cock,robinet d'arrêt de frein,Luftabsperrhahn,
air silencer with wet air filter,silencieux de filtre à air,Ansauggeräuschdämpfer mit Nassluftfilter,
air source heat pump,pompe à chaleur air-air,Luftwärmepumpe,
air spring,ressort pneumatique,Luftfeder,
air start,réallumage en vol,Wiederanlassen im Fluge,
air start,réallumage en vol,Wiederanlassen im Fluge,
air start unit,démarreur à air,Druckluftanlasser,
air starter,démarreur pneumatique,Druckluftanlasser,
air supply valve,injecteur d'air,Luftdurchreissventil,
air supply valve,vanne d'admission d'air,Lufteinlaßventil,
air take off ring,collecteur de prélèvement d'air,Luftentnahmering,
air temperature switch,interrupteur à température atmosphérique,Lufttemperaturschalter,
air thermostat,thermostat d'ambiance,Lufttemperaturregler,
air throw range,portée d'éjection de l'air,Luftaustrittsbereich,
air to air heat exchanger,échangeur de chaleur air-air,Luft-Luft-Wärmetauscher,
air trunking,manchette,Luftstützen,
air turbine motor,moteur à turbine à air,Luftturbinenmotor,
air valve,évent,Lüftungsklappe,
air valve,purgeur d'air,Entlueftungsventil,
air valve,soupape à air,Luftventil,
air valve,soupape d'admission d'air,Schnüffelventil,
air vent,évent,Entlüftung,
air vent grid,grille d'évacuation d'air,Entlüftungsgitter,
air vent valve,clapet de mise à l'air libre,Entlüftungsventil,
air ventilation system,circuit de ventilation,Belüftungsanlage,
air vessel,bouteille à air,Luftflasche,
air vessel with membrane,accumulateur à membrane,Stossdämpfer,
air washing equipment for fruit growers,stallation de ventilation forcée pour la culture fruitière,Luftwaschanlage fuer den Obsterzeugerbetrieb,
air whistle,sifflet à air,Luftpfeibe,
air-blast freezing,congélation par ventilation,Gefrieren in bewegter Luft,
air-blast injection Diesel engine,moteur diesel à injection pneumatique,Dieselmotor mit Drucklufteinspritzung,
air-brush coating,application avec brosse à air,Luftbürsten|auftrag,
air-chamber pump,pompe munie de réservoir d'air,Druck-Windkesselpumpe,
air-cooled air conditioner,conditionneur d'air à condenseur à air,luftgekuehltes Klimageraet,
air-cooled condenser,condenseur à air,luftgekuehlter Verfluessiger,
air-cooled engine,moteur à refroidissement par air,Luftkühlungsmotor,
air-cooled evaporator,évaporateur à refroidissement à air,Direktverdampfer mit Luftkuehlung,
air-cooled klystron,klystron à refroidissement par air,luftgekühltes Klystron,
air-cooled vault,stockage enterré refroidi par air,luftgekühltes Gewölbe,
air-dropping installation,installation de largage de charges,Lastabsetz-Anlage,
air-flow limiter,limiteur de débit d'air,Luftdurchflußbegrenzer,
air-fuel ratio control,commande d'accélération,Luft-Kraftstoff-Verhältnisregler,
air-ground lever,levier air-sol,Luft-Boden-Hebel,
air-inlet valve,soupape de rentrée d'air,Luftsaugventil,
air-knife coater,machine à enduire avec râcle à air,Schlitzdüsenauftragmaschine,
air-lift pump,pompe à air comprimé,Druckluftpumpe,
air-line drain port,orifice de purge d'eau,Wasserablassanschluss,
air-no-fuel vent valve,clapet de mise à l'air libre étanche au carburant,kraftstoffdichtes Entlüftungsventil,
air-operated expanding mandrel,mandrin expansible à commande pneumatique,Druckluftspanndorn,
air-stop valve,"valve ""stop-air""",Luftstopventil,
air-tightness,étanchéité à l'air,Luftdichtigkeit,
air-to-air heat pump,pompe à chaleur air-air,Luft-Luft-Waermepumpe,
air-to-air heat pump,pompe à chaleur air-air,Luft-Luft-Wärmepumpe,
air-to-water heat pump,pompe à chaleur air-eau,Luft-Wasser-Waermepumpe,
air-water heat pump,pompe à chaleur air-eau,Luft-Wasser-Wärmepumpe,
airblast atomizer,injecteur aérodynamique,Druckluftzerstäuber,
airbleed,purge d'air,Luftabzapfung,
airborne auxiliary power unit,groupe auxiliaire de bord,Bordhilfsaggregat,
airborne wind turbine,éolienne aéroportée,fliegende Windkraftanlage,
airbrake,aérofrein,Luftbremse,
airbrake position indicator,signalisation de la position des aérofreins,Luftbremsen-Stellungsanzeige,
airbreathing motor,moteur aérobie,luftatmendes Triebwerk,
aircraft drive hydraulic system emergency,secours hydraulique d'avion,Notanbrieb für Flugzeughydraulik Anlage,
aircraft engine,moteur d'avion,Flugtriebwerk,
